,X,Backed_Microlith,BipolarTech,BladeTech,Borer,Burin,CentripetalTech,CoreTool,Denticulate,LevalloisBladeTech,LevalloisFlakeTech,LevalloisPointTech,Notch,PlatformCore,PointTech,RTBifacial,Scraper,rowSums.cbdatapa2.,AssID,Site...3,Reported.Industry,Industry,SimpleMethod,SimpleType,N,E,MIN_AGE,MID_AGE,MAX_AGE,newMIS,Ref,Basalts,Cherts,CCS,Obsidians,Metamorphics,Quartzs,Other Igneous,Other Sedimentary
253,Omo_KHSNMKenya,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,8,Omo_KHSNMKenya,Omo,MSA,MSA,0,0,4.468124171,35.97851883,193,197,201,7,Shea et al. 2008,0,1,1,0,0,0,0,0
254,Omo_KHSSgully,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,8,Omo_KHSSgully,Omo,MSA,MSA,0,0,4.468124171,35.97851883,193,197,201,7,Shea et al. 2008,0,1,1,0,0,0,0,0
25,Pange_ya_Saidi_17,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Pange_ya_Saidi_17,Pange_ya_Saidi,MSA,MSA,1,1,-3.72,39.719,65,73,80,5,Shipton et al. 2018,0,1,0,0,1,1,0,1
26,Pange_ya_Saidi_18,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,5,Pange_ya_Saidi_18,Pange_ya_Saidi,MSA,MSA,1,1,-3.72,39.719,67,77,86,5,Shipton et al. 2018,0,1,0,0,0,1,0,1
27,Pange_ya_Saidi_19,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,7,Pange_ya_Saidi_19,Pange_ya_Saidi,MSA,MSA,1,1,-3.72,39.719,67,77,86,5,Shipton et al. 2018,0,1,0,0,0,1,0,1
256,Rusinga_Nyamita,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,6,Rusinga_Nyamita,Rusinga,MSA,MSA,0,0,-0.425508,34.159631,42,49,56,3,Tryon et al. 2012,0,1,0,0,0,1,1,0
112,Shurmai_MSA,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,5,Shurmai_MSA,Shurmai,MSA,MSA,1,1,0.508333333,37.21518333,39,45,50,3,Dickson & Gang 2002,1,1,0,1,0,1,1,1
197,VictoriaCabera_2,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,6,VictoriaCabera_2,VictoriaCabera,MSA,MSA,1,0,-2.9928451,35.3522518,70,81,91,5,Maíllo-Fernández et al. 2019a,1,0,0,0,1,0,1,0
198,VictoriaCabera_2a,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,4,VictoriaCabera_2a,VictoriaCabera,MSA,MSA,1,0,-2.9928451,35.3522518,70,81,91,5,Maíllo-Fernández et al. 2019a,1,0,0,0,1,0,0,0
199,VictoriaCabera_3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,VictoriaCabera_3,VictoriaCabera,MSA,MSA,1,0,-2.9928451,35.3522518,70,81,91,5,Maíllo-Fernández et al. 2019a,1,0,0,0,1,0,0,0
200,VictoriaCabera_4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,VictoriaCabera_4,VictoriaCabera,MSA,MSA,1,0,-2.9928451,35.3522518,79,86,91,5,Maíllo-Fernández et al. 2019a,1,1,0,0,1,1,1,0
